iteration,exploitability_rate_4_42
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9763272422892547
177,0.911624734662688
316,0.8977463713792849
562,0.8399347751219728
1000,0.7774520440250383
1778,0.6055509932145128
3162,0.2032546822176945
5623,0.16045580856217112
10000,0.1483651799409738
17782,0.1559138441148469
31622,0.2757048281245801
56234,0.24453290435761071
100000,0.17168924421669807
177827,0.09468624170481214
316227,0.07709777001047445
562341,0.06886542084671153
1000000,0.06639945549066391
