iteration,exploitability_rate_4_1000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9891270321877227
177,0.9651882334330392
316,0.954300748474741
562,0.8937629777450035
1000,0.8241029323592619
1778,0.7023424829930806
3162,0.2590731295214029
5623,0.17940551069030433
10000,0.1601392280780713
17782,0.13802452490764552
31622,0.24307419017340184
56234,0.2168300461039544
100000,0.10614366525479339
177827,0.062400231878840376
316227,0.0424949267403858
562341,0.020310864317439642
1000000,0.01629669405748301
