iteration,exploitability_rate_3_42
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9930782509571263
177,0.9705085304892602
316,0.9514157875711706
562,0.9154310154500155
1000,0.8509090562939744
1778,0.769021992293578
3162,0.45085229006938426
5623,0.21022469349225797
10000,0.21327464722859932
17782,0.22323809001430303
31622,0.36472906297864066
56234,0.35238719035238963
100000,0.16375234255003443
177827,0.09527179647510131
316227,0.03296980083243088
562341,0.025198671003557667
1000000,0.014683357445747985
