iteration,exploitability_rate_5_42
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9970830025483598
177,0.9939735709736578
316,0.9987487172451552
562,0.9362889601136297
1000,0.8773056377176011
1778,0.6882852176031881
3162,0.277000171912554
5623,0.17052370745806167
10000,0.14380787308638693
17782,0.10303505681762387
31622,0.14058929367346087
56234,0.13855883880660222
100000,0.06340849805308907
177827,0.03163232967017362
316227,0.02854272570469342
562341,0.020814576979022323
1000000,0.014315463070605808
