iteration,exploitability_rate_3_10000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9801801524661384
177,0.9510758932768936
316,0.9444079865066436
562,0.9052750424590226
1000,0.8314020244628378
1778,0.7169284693953052
3162,0.45597588435733605
5623,0.21664912216557805
10000,0.20182316269951942
17782,0.2675414411901516
31622,0.35934958854879906
56234,0.3354648017278901
100000,0.16157700016049092
177827,0.08391263950793394
316227,0.03921394485868993
562341,0.023558729069074975
1000000,0.01964614513610142
