iteration,exploitability_rate_5_1000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,1.0017131319898862
177,1.0204360220152178
316,0.9950324741317181
562,0.9122362856261373
1000,0.8488589820734538
1778,0.6063108061952046
3162,0.24309331876838206
5623,0.16887444505914515
10000,0.14593245702301397
17782,0.10105012349617075
31622,0.17398321676165024
56234,0.1808836359599066
100000,0.15940424639595938
177827,0.07987509381138834
316227,0.07090710832821383
562341,0.056254277709876906
1000000,0.047172422703406526
