iteration,exploitability_rate_2_1000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,1.007931892518179
177,1.034924029300045
316,1.011034882699098
562,0.9629712012871311
1000,0.88370084636381
1778,0.7580720574368655
3162,0.6333461726090083
5623,0.3138393356367532
10000,0.33116180265792294
17782,0.33353410481864376
31622,0.3919666172304
56234,0.4551659725751757
100000,0.22821769909644712
177827,0.11984756645993205
316227,0.04260727858422567
562341,0.026799561428337185
1000000,0.0154634169655139
