iteration,exploitability_rate_4_10000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,1.009992328186086
177,1.0380111850549207
316,1.000457574423319
562,0.9264069923550864
1000,0.8443321752764464
1778,0.7375835210004463
3162,0.3051411119920424
5623,0.181431665702519
10000,0.1605564858462047
17782,0.13584809108461732
31622,0.21298176316724943
56234,0.2501313577021021
100000,0.11784695384018601
177827,0.06916292061915708
316227,0.03244832490202092
562341,0.022041585736474426
1000000,0.01849510049612865
