iteration,exploitability_rate_5_10000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9960829706610165
177,0.986876814191178
316,0.9948648959568988
562,0.8995340147986421
1000,0.8202395408259264
1778,0.6763283563382833
3162,0.2906632590681906
5623,0.19485608480697167
10000,0.14848695480585733
17782,0.12103813820337596
31622,0.15304448930673306
56234,0.14271304976049262
100000,0.06937053041679879
177827,0.03988519738624879
316227,0.02608493591027423
562341,0.018528216461709945
1000000,0.016925713394212706
